CardNo,CardCount,Money
142474,25,54.900000000000006
142529,8,17.799999999999997
142645,2,3.7
142764,20,134.0
143067,1,7.35
143377,1,7.5
143476,1,7.35
143494,1,7.35
143607,7,48.5
143762,20,135.0
144000,1,7.35
144059,2,14.7
144254,89,208.5999999999999
144270,47,156.69999999999996
144284,11,72.1
144328,14,124.0
144344,36,162.90000000000003
144400,19,64.69999999999999
144401,6,34.0
144410,58,202.90000000000003
144484,25,122.49999999999999
144542,2,21.5
144691,43,336.3
144696,48,188.6
144705,17,120.0
144827,1,10.5
144837,27,130.70000000000002
144844,12,83.0
144858,9,85.5
144870,14,43.199999999999996
144878,8,43.4
144914,1,7.35
145018,46,270.79999999999995
145074,1,7.35
145164,1,7.35
145168,12,105.0
145265,35,184.0
145319,63,281.19999999999993
145340,2,12.2
145356,21,137.10000000000002
145422,11,68.0
145439,46,159.89999999999998
145731,6,35.5
145768,7,25.6
145814,23,207.4
145848,9,39.1
145886,13,118.5
145895,69,204.70000000000002
145954,28,122.20000000000002
145969,37,134.4
145995,17,49.0
146006,17,148.5
146023,28,185.99999999999997
146160,17,45.8
146314,4,8.3
146323,3,43.0
146350,18,117.4
146351,4,47.5
146367,3,8.0
146373,92,348.6
146438,19,119.5
146466,22,223.5
146574,3,15.0
146601,14,80.9
146614,12,82.0
146620,2,17.0
146627,57,253.2
146636,2,17.0
146667,21,72.5
146687,47,235.6
146727,7,55.0
146776,88,283.9
146912,29,121.30000000000001
146935,15,46.8
146948,9,28.5
147013,11,80.2
147017,7,50.5
147107,4,16.4
147711,38,111.89999999999999
147759,19,109.60000000000001
147912,2,16.5
147961,22,77.80000000000001
148063,115,241.6000000000001
148093,44,200.49999999999997
148122,81,232.0
148173,20,114.5
148258,32,167.99999999999997
148283,104,375.99999999999994
148498,8,40.1
148529,20,116.19999999999999
148554,53,199.29999999999998
148560,38,278.9
148623,9,21.799999999999997
148635,5,6.8
148652,98,251.7000000000001
148702,23,98.29999999999998
148808,55,190.89999999999995
148824,7,25.9
150190,1,9.0
150272,145,514.3999999999997
150282,344,2975.7
150299,9,65.2
150794,10,41.9
150830,7,15.3
151112,10,76.0
151633,8,26.6
151816,47,256.2
151852,22,111.19999999999999
152013,4,22.5
152158,8,51.1
152312,3,30.5
152827,1,11.0
152849,6,51.0
153279,10,28.8
153334,23,145.5
153336,3,21.0
153395,14,98.3
153693,1,9.0
153731,35,177.9
153961,1,10.0
154226,11,54.0
154234,1,65.1
154282,25,120.4
154292,45,173.99999999999997
154303,72,225.59999999999994
154470,37,528.9
154485,48,146.39999999999998
154489,30,90.7
154528,20,42.099999999999994
154551,4,7.5
154633,22,165.2
154637,13,102.5
154656,8,47.5
154662,167,423.5000000000001
154674,24,42.9
154679,33,253.5
154680,31,89.8
154731,30,119.39999999999999
154737,20,186.0
154758,32,117.4
154765,12,11.700000000000001
154983,6,47.0
155056,10,90.1
155074,19,129.0
155078,28,180.1
155088,2,17.0
155093,3,7.5
155152,2,6.4
155171,32,175.70000000000002
155181,11,32.1
155207,45,121.80000000000003
155260,3,4.2
155270,18,73.9
155279,1,1.6
155313,78,142.0
155322,3,6.5
155372,8,21.799999999999997
155383,12,99.0
155434,1,31.8
155435,39,136.2
155437,21,181.5
155521,12,82.0
155573,17,21.8
155583,124,585.3000000000003
155777,117,528.1999999999999
155797,1,0.0
155804,22,54.7
156024,136,361.60000000000014
156126,130,658.0
156206,53,124.29999999999998
156261,4,15.6
156267,5,26.1
156287,13,116.0
156305,1,33.9
156344,7,23.1
156370,2,5.5
156395,8,40.5
156467,3,36.0
156479,33,134.00000000000003
156493,20,161.0
156494,137,304.79999999999995
156527,4,13.5
156576,34,294.5
156577,12,78.7
156613,4,35.0
156625,2,100.0
156635,26,135.99999999999997
156701,3,17.0
156721,48,191.79999999999998
156732,35,134.49999999999997
156756,1,14.0
156770,6,33.6
156802,1,0.7
156811,13,100.1
156897,2,5.5
156940,4,14.3
156944,1,25.1
156951,32,242.0
156958,1,34.81
156977,14,99.4
156983,39,108.1
156998,11,66.5
157090,1,9.0
157093,102,225.69999999999993
157128,6,34.1
157132,72,273.5
157165,18,137.0
157169,22,85.8
157330,54,259.5
157334,14,48.400000000000006
157338,2,18.0
157386,2,10.0
157398,11,114.0
157435,14,98.3
157462,1,3.0
157483,5,52.0
157529,49,185.50000000000003
157538,67,465.40000000000003
157568,84,400.49999999999994
157583,2,31.0
157609,126,377.8
157618,1,54.0
157684,29,62.50000000000001
157700,13,33.2
157710,26,97.7
157714,60,166.8
157718,104,457.7
157730,25,139.5
157737,34,228.70000000000002
157738,9,29.399999999999995
157740,1,3.0
157754,4,1.8
157764,76,182.7999999999999
157770,53,195.2
157784,5,34.1
157795,3,5.4
157841,39,168.99999999999997
157854,7,16.0
157894,10,49.800000000000004
157953,1,0.6
157991,1,1.5
157993,58,336.2
158017,24,101.8
158036,1,0.0
158052,18,97.6
158053,2,7.5
158060,9,71.0
158063,36,94.4
158072,21,176.0
158076,30,173.9
158085,1,0.5
158101,2,11.5
158102,42,207.2
158114,13,41.0
158117,10,40.8
158119,20,73.60000000000001
158121,28,110.3
158152,44,209.2
158154,1,8.0
158174,2,11.0
158177,1,0.5
158180,4,22.0
158195,83,251.19999999999987
158215,35,121.9
158241,2,100.0
158243,66,157.70000000000002
158257,35,119.8
158270,1,7.0
158273,66,199.19999999999996
158277,1,4.0
158294,3,46.5
158316,19,100.20000000000002
158320,89,1338.9000000000008
158326,26,154.29999999999998
158330,35,157.90000000000003
158343,33,199.6
158348,52,192.20000000000002
158349,86,367.10000000000014
158355,60,191.70000000000002
158356,1,137.8
158359,38,255.0
158360,115,547.1
158364,66,307.79999999999995
158365,161,671.2000000000002
158366,67,325.7
158369,108,361.00000000000006
158370,40,124.10000000000002
158374,169,577.0999999999999
158376,126,529.7800000000001
158379,1,4.0
158381,1,36.6
158385,3,11.5
158387,47,218.20000000000002
158389,57,159.70000000000005
158391,51,225.39999999999998
158394,94,289.9
158402,1,5.0
158490,9,55.7
158507,28,110.5
158549,3,8.0
158550,65,279.7
158558,53,171.60000000000002
158580,89,264.0
158600,22,94.2
158614,1,7.0
158620,41,118.60000000000001
158622,6,42.0
158655,3,20.5
158689,17,49.800000000000004
158692,1,1.5
158718,2,9.5
158788,77,355.59999999999974
158791,1,25.0
158873,63,398.9
158889,63,226.6
158890,190,1493.6
158895,55,219.19999999999996
158907,13,49.9
158931,3,31.0
158942,18,74.2
158962,11,49.6
158972,41,157.79999999999998
158996,43,108.80000000000003
159030,11,39.6
159055,19,117.29999999999998
159066,22,84.1
159068,20,54.20000000000001
159112,1,6.0
159134,75,268.15999999999997
159136,69,382.3
159217,6,29.1
159241,26,126.5
159243,1,2.0
159245,39,195.7
160004,3,29.0
160008,24,132.0
160010,1,2.0
160012,18,46.7
160013,51,112.8
160019,44,107.60000000000002
160025,23,79.2
160026,26,91.70000000000002
160037,49,211.29999999999998
160039,77,230.79999999999993
160041,2,5.4
160042,48,137.10000000000002
160045,54,105.20000000000002
160046,10,23.6
160053,70,163.50000000000003
160061,5,24.5
160062,41,94.10000000000001
160067,7,20.0
160069,79,197.59999999999997
160077,5,10.0
160079,33,75.5
160080,55,171.2
160081,27,65.6
160083,102,291.9
160090,117,234.10000000000002
160091,3,15.5
160093,19,61.8
160095,37,112.10000000000001
160103,48,98.2
160108,59,149.55999999999997
160111,24,47.5
160112,11,32.3
160115,17,71.4
160136,1,4.8
160139,38,70.10000000000001
160141,44,240.60000000000002
160143,23,91.6
160145,54,177.49999999999997
160157,53,121.6
160160,1,11.0
160164,40,160.5
160165,1,2.0
160169,6,23.4
160176,49,180.9
160181,64,307.0
160196,10,16.4
160202,17,48.4
160214,1,37.03
160217,45,143.79999999999998
160219,3,13.4
160220,33,137.5
160223,2,50.0
160228,34,175.7
160231,3,15.0
160235,23,71.2
160238,3,22.0
160239,21,45.4
160248,3,21.0
160252,21,139.6
160255,6,13.200000000000001
160260,2,5.5
160272,81,227.69999999999993
160292,22,62.10000000000001
160298,33,194.7
160320,80,344.9
160321,18,65.8
160322,4,40.4
160323,1,0.2
160329,55,132.1
160335,85,392.9
160343,5,13.4
160346,64,210.99999999999994
160348,44,179.79999999999998
160352,31,82.9
160354,61,148.59999999999997
160362,49,117.90000000000002
160363,1,2.0
160364,52,112.30000000000001
160365,24,39.8
160368,1,0.0
160387,62,149.0
160388,53,162.59999999999997
160394,45,148.70000000000002
160395,5,6.9
160396,7,20.1
160399,99,260.6
160407,3,6.0
160408,39,240.89999999999998
160411,93,385.29999999999995
160413,72,185.29999999999998
160417,2,3.7
160419,47,226.19999999999996
160420,88,390.99999999999994
160425,1,2.0
160431,29,130.39999999999998
160436,71,136.9
160437,23,63.70000000000001
160441,31,81.0
160444,44,100.6
160448,21,110.69999999999999
160449,18,83.5
160450,1,9.0
160457,7,21.4
160460,4,7.1
160461,6,25.9
160467,2,0.8
160470,12,40.60000000000001
160471,13,54.300000000000004
160474,66,202.39999999999998
160476,56,92.40000000000002
160479,14,50.2
160486,72,165.89999999999995
160524,23,50.1
160526,74,254.3
160534,83,231.8999999999999
160536,5,18.4
160540,49,152.3
160542,3,14.0
160543,5,24.4
160547,82,194.59999999999997
160551,14,29.199999999999996
160557,129,289.40000000000003
160559,47,165.6
160560,107,351.29999999999995
160561,26,99.2
160565,58,340.0
160568,50,159.99999999999997
160574,18,98.4
160575,6,54.5
160579,55,193.29999999999998
160583,37,134.5
160586,173,472.7999999999997
160590,19,98.4
160594,21,50.29999999999999
160595,38,179.89999999999998
160610,21,52.00000000000001
160613,169,551.1000000000001
160621,14,100.2
160645,5,9.7
160652,1,9.0
160666,3,5.4
160684,1,7.0
160688,31,154.20000000000002
160689,30,101.3
160701,23,68.3
160707,32,75.79999999999998
160741,35,137.3
160749,2,12.0
160757,26,191.9
160771,1,8.0
160781,100,271.90000000000003
160783,51,134.10000000000002
160793,1,5.5
160800,5,26.5
160801,3,59.7
160815,1,1.2
160817,18,92.0
160824,1,3.5
160837,59,104.30000000000001
160840,1,5.0
160847,6,15.2
160851,10,41.0
160856,4,7.0
160898,4,24.0
160904,43,234.99999999999997
160914,7,24.5
160915,5,7.4
160917,10,42.800000000000004
160926,10,17.4
160931,63,127.3
160932,57,151.5
160940,116,195.0
160943,2,14.4
160944,34,99.10000000000001
160946,24,48.2
160951,35,149.70000000000002
160967,4,7.0
160980,10,83.5
160986,1,9.0
161017,3,32.0
161018,1,7.0
161019,54,201.9
161026,4,12.2
161028,41,132.9
161035,7,64.8
161036,2,3.4
161039,99,448.5
161045,56,331.80000000000007
161047,14,60.2
161048,60,262.59999999999997
161060,3,8.3
161068,60,302.9
161071,1,4.0
161073,37,208.5
161082,84,453.5999999999999
161097,59,464.90000000000003
161149,1,6.5
161294,17,49.2
161308,6,124.6
161380,1,9.0
161383,1,3.0
161414,3,28.0
161437,2,9.5
161451,2,50.0
161453,14,94.69999999999999
161459,1,2.0
161486,19,73.7
161514,1,3.5
161598,13,93.80000000000001
161675,1,6.0
161677,17,100.2
161683,1,7.0
161697,34,181.7
161716,26,68.9
161735,2,9.0
161736,19,59.0
161750,26,99.0
161755,28,91.0
161762,34,71.10000000000001
161783,42,140.5
161786,7,63.4
161787,69,306.59999999999997
161794,29,103.7
161802,36,112.9
161808,2,13.5
161811,57,213.39999999999998
161826,1,1.8
161829,48,167.89999999999998
161830,10,43.1
161834,52,284.5
161838,21,40.900000000000006
161840,40,111.49999999999999
161856,56,344.9000000000001
161858,2,12.0
161883,4,12.6
161890,9,30.599999999999998
161893,11,29.3
161895,92,282.79999999999995
161904,3,14.5
161913,4,44.0
161953,1,1.0
161959,110,410.49999999999983
161975,1,1.0
161992,1,0.6
162029,7,19.700000000000003
162051,12,56.3
162060,34,163.4
162063,7,52.2
162066,30,101.3
162078,61,146.3
162087,1,0.5
162088,2,5.5
162167,6,9.1
162286,23,236.4
162296,75,182.90000000000003
162304,1,82.8
162312,92,260.69999999999993
162316,77,204.2
162326,5,23.200000000000003
162342,13,47.49999999999999
162344,39,130.2
162348,18,51.300000000000004
162350,75,330.20000000000005
162357,45,188.49999999999997
162359,28,78.1
162361,34,125.30000000000001
162395,3,15.5
162410,2,5.5
162431,55,374.0
162434,7,11.2
162446,15,44.0
162451,4,32.0
162461,32,124.49999999999999
162485,19,42.400000000000006
162486,1,12.5
162492,42,127.80000000000001
162518,38,91.35000000000002
162522,2,40.5
162524,6,44.0
162529,55,252.9
162531,76,135.10000000000002
162533,10,28.6
162534,1,1.0
162547,58,169.7
162548,13,60.300000000000004
162554,36,59.50000000000001
162558,5,20.1
162561,19,126.19999999999999
162565,25,44.89999999999999
162575,1,0.5
162600,2,3.5
162612,20,166.5
162624,40,205.4
162625,2,4.0
162631,3,15.5
162633,41,398.20000000000005
162647,1,6.0
162649,29,104.29999999999998
162651,53,105.30000000000003
162653,4,4.6
162735,32,115.6
162738,13,41.00000000000001
162760,2,15.0
162823,45,205.29999999999995
162836,1,3.5
162841,5,37.0
162847,1,19.0
162854,40,185.39999999999995
162859,52,135.10000000000002
162866,1,9.5
162880,1,17.0
162881,65,351.29999999999995
162887,100,274.69999999999993
162888,108,289.70000000000005
162896,65,408.3000000000002
162898,53,269.6
162913,2,16.0
162917,6,23.6
162922,63,333.3
162927,25,49.20000000000002
162929,78,459.40000000000003
162963,6,67.8
162968,6,26.9
162989,31,100.4
162990,4,8.5
162992,48,145.39999999999998
162993,15,87.39999999999999
162996,74,207.09999999999997
163033,59,494.2
163040,27,180.39999999999998
163053,2,17.0
163057,7,18.5
163078,10,27.700000000000003
163095,1,0.6
163109,4,7.1
163131,41,324.3
163132,6,12.6
163170,2,50.0
163176,9,43.3
163181,4,22.0
163197,25,104.5
163208,45,291.69999999999993
163262,2,4.0
163271,15,55.400000000000006
163272,42,365.49999999999994
163281,47,252.09999999999997
163285,62,142.1
163291,8,49.0
163292,17,68.4
163296,18,53.0
163323,76,255.49999999999997
163324,1,0.6
163364,14,107.0
163366,98,588.8000000000001
163431,5,39.2
163435,2,50.0
163441,3,20.0
163451,17,75.3
163465,1,3.0
163474,44,267.0
163482,19,89.0
163489,10,92.6
163494,2,16.5
163495,61,408.40000000000003
163497,3,17.0
163506,33,119.8
163514,3,8.1
163543,1,58.5
163559,1,5.6
163560,24,62.699999999999996
163577,1,3.0
163604,108,378.5999999999999
163632,33,50.6
163638,113,273.1000000000001
163643,21,126.7
163649,16,41.2
163718,16,49.8
163725,2,50.0
163742,1,1.0
163754,21,105.5
163783,20,134.4
163786,19,47.7
163789,13,50.900000000000006
163800,1,8.0
163810,1,2.5
163811,60,259.19999999999993
163813,1,2.0
163817,1,73.7
163820,25,111.0
163830,10,61.3
163831,11,45.6
163840,5,38.0
163845,65,145.49999999999994
163855,69,251.29999999999995
163876,87,251.20000000000002
163878,1,0.5
163884,13,70.3
163887,83,215.79999999999987
163908,73,243.3
163925,4,120.0
163942,29,200.89999999999998
163963,8,22.4
163967,21,76.89999999999999
163981,84,332.9
164021,1,2.0
164027,1,2.0
164032,10,34.8
164042,46,99.0
164059,7,14.2
164070,35,170.4
164073,35,200.49999999999997
164074,8,30.9
164075,2,7.1
164077,20,82.4
164078,116,409.4999999999999
164081,3,9.5
164085,1,52.04
164093,10,51.5
164104,116,258.29999999999984
164115,27,145.7
164144,34,112.80000000000001
164145,85,322.70000000000005
164152,4,7.300000000000001
164163,11,46.7
164176,68,237.5999999999999
164181,9,98.6
164182,2,22.0
164183,4,11.0
164190,49,125.10000000000001
164195,10,23.4
164201,1,18.0
164207,2,10.5
164216,14,128.7
164240,1,2.5
164261,2,50.0
164262,2,50.0
164265,31,151.3
164288,10,88.5
164292,10,67.6
164294,51,249.5999999999999
164297,52,378.4000000000001
164306,1,155.02
164311,3,53.5
164327,1,45.9
164328,49,136.1
164365,27,187.4
164370,1,0.2
164373,11,80.0
164377,1,0.6
164397,34,160.2
164408,6,38.7
164426,16,40.300000000000004
164434,30,80.5
164440,2,8.5
164478,1,10.0
164481,11,84.0
164493,75,363.9000000000001
164510,10,75.0
164522,9,42.6
164647,1,56.5
164657,1,0.8
164661,18,83.80000000000001
164666,1,0.8
164681,2,10.0
164708,26,115.6
164722,20,91.4
164723,27,150.5
164728,8,70.5
164735,31,249.6
164738,10,73.0
164739,11,80.0
164741,24,163.1
164743,25,271.9
164746,34,199.2
164753,16,130.0
164755,10,80.0
164756,10,119.8
164759,6,27.1
164764,10,80.0
164769,28,180.0
164773,14,80.0
164777,15,128.5
164778,15,127.3
164781,32,229.5
164782,13,80.0
164788,12,80.0
164789,29,180.0
164790,16,130.0
164792,21,126.29999999999998
164793,11,97.3
164794,9,121.5
164795,21,130.0
164797,24,123.0
164798,13,80.0
164799,39,174.1
164805,26,180.0
164806,19,129.0
164808,11,80.0
164809,30,199.8
164810,52,280.0
164811,19,130.0
164812,21,126.5
164815,10,80.0
164817,11,80.0
164819,35,180.0
164823,12,79.5
164828,55,279.99999999999994
164829,16,128.2
164833,22,174.6
164841,12,119.5
164844,25,177.5
164850,41,230.0
164854,40,180.0
164856,27,177.5
164861,5,16.4
164862,23,172.5
164864,53,229.29999999999998
164865,24,176.1
164875,22,47.0
164879,2,2.4
164889,15,76.9
164891,2,50.0
164910,2,1.9
164914,4,25.0
164924,42,203.89999999999998
164928,15,128.5
164940,26,141.4
164944,1,0.3
164948,15,106.0
164949,4,11.3
164952,40,201.8
164959,3,34.0
164975,2,20.0
164986,48,101.6
165006,8,30.3
165024,1,1.5
165040,1,6.0
165067,8,24.0
165074,31,77.30000000000001
165075,84,343.09999999999997
165080,94,462.59999999999997
165082,129,321.1999999999999
165084,1,0.3
165092,1,2.1
165099,6,21.0
165100,85,422.0999999999999
165101,69,339.0
165115,100,478.7000000000001
165119,80,258.79999999999995
165125,124,367.99999999999994
165133,29,69.69999999999999
165134,1,15.2
165138,73,175.80000000000004
165143,80,614.7
165151,71,237.89999999999995
165157,54,197.7
165159,51,181.1
165161,126,452.1000000000001
165167,153,673.1000000000003
165178,5,388.0
165190,75,396.0999999999999
165195,21,89.69999999999999
165204,3,10.5
165211,40,208.10000000000002
165222,4,11.1
165231,1,87.6
165238,36,127.80000000000001
165242,46,1006.3000000000001
165250,2,13.0
165251,52,378.4
165252,2,120.0
165253,93,432.70000000000005
165255,60,360.5
165256,6,203.0
165257,81,312.2
165258,6,14.9
165261,126,341.40000000000003
165262,87,398.40000000000003
165265,19,50.4
165268,78,297.9999999999999
165273,14,48.9
165274,110,358.1000000000001
165276,46,193.1
165278,53,156.10000000000002
165279,3,15.0
165288,39,192.99999999999994
165298,21,77.1
165299,178,438.80000000000035
165300,119,394.90000000000015
165301,78,436.9
165303,3,15.0
165305,48,204.19999999999993
165308,1,4.0
165309,9,24.300000000000004
165312,19,61.60000000000001
165314,11,77.2
165315,27,192.40000000000003
165320,19,97.39999999999999
165321,124,250.8
165322,32,211.6
165325,26,100.8
165332,2,40.0
165347,22,106.6
165348,24,128.0
165358,5,84.0
165365,42,187.5
165369,28,82.2
165371,80,260.79999999999995
165379,42,209.8
165385,77,381.1000000000001
165392,61,237.09999999999997
165393,104,481.9
165395,4,25.0
165396,64,324.29999999999995
165399,71,287.2999999999999
165411,6,16.1
165414,51,325.4000000000001
165415,97,177.70000000000005
165416,112,2397.3999999999996
165417,25,142.75999999999996
165418,69,511.40000000000003
165420,62,171.10000000000002
165421,64,396.6
165422,21,100.1
165424,55,583.5999999999999
165426,17,111.6
165429,41,197.1
165431,19,100.4
165435,11,43.0
165468,25,103.1
165495,11,92.0
165496,5,35.3
165498,68,226.89999999999998
165515,33,110.30000000000003
165522,3,34.5
165529,35,123.79999999999998
165535,5,27.6
165538,1,0.5
165548,18,89.3
165553,1,0.0
165578,11,60.9
165601,35,152.6
165605,46,199.6
165609,189,547.2000000000006
165611,59,299.29999999999995
165612,42,141.5
165619,41,343.0
165620,41,190.1
165621,17,82.9
165631,1,9.0
165632,48,202.1
165637,9,85.1
165649,1,1.0
165653,56,250.09999999999997
165657,3,20.0
165658,35,134.00000000000003
165665,89,271.09999999999997
165666,64,250.49999999999997
165680,108,290.59999999999997
165688,33,106.6
165692,100,386.3000000000001
165696,22,53.9
165702,35,56.1
165712,7,31.8
165719,7,48.9
165720,58,145.69999999999996
165722,10,31.6
165727,77,318.1
165730,8,210.0
165735,1,72.3
165738,64,302.9
165739,18,102.0
165741,36,116.49999999999999
165742,20,72.30000000000001
165744,96,394.8000000000002
165745,37,163.59999999999994
165746,53,219.20000000000002
165748,48,290.8
165754,68,255.29999999999993
165759,19,63.900000000000006
165760,33,98.4
165761,84,352.4
165764,154,425.5000000000001
165767,19,51.4
165778,67,360.3
165786,74,489.3999999999999
165787,73,267.79999999999995
165788,65,284.2
165793,37,131.60000000000002
165796,73,184.19999999999996
165797,52,115.60000000000001
165801,58,247.5
165802,1,177.6
165804,69,171.70000000000005
165810,150,453.80000000000024
165812,28,51.800000000000004
165813,94,278.2999999999999
165814,99,446.3999999999999
165816,50,264.0
165817,113,376.40000000000003
165820,120,439.7000000000001
165822,7,50.0
165824,52,122.09999999999998
165826,67,337.5
165829,63,200.8
165830,18,101.4
165831,3,21.5
165835,1,1.1
165856,13,81.7
165872,8,42.6
165876,22,78.2
165890,5,31.5
165891,28,147.9
165892,54,292.5
165893,132,388.7000000000001
165895,58,221.60000000000002
165901,33,84.10000000000001
165902,127,447.8
165903,1,7.0
165907,14,110.0
165910,58,157.39999999999998
165915,2,59.2
165918,192,410.30000000000024
165923,83,310.0
165929,27,177.5
165930,111,555.8000000000001
165933,197,474.1000000000003
165937,32,112.89999999999999
165938,18,90.2
165941,4,7.0
165958,54,276.6
165959,84,290.29999999999995
165964,18,50.80000000000001
165969,113,337.79999999999995
165973,33,140.79999999999998
